"PostID","FBlink","Mitulink","Headline","ShareText","Type","Category","DatePosted","HourPosted","Hour","Day","Month","Reach","Comments","Likes","Shares","TotalInter","InterRate","Clicks","CTR","TimesRepost","Reposted","RepostOrder","Originals","Reposts","ss_headlines","ss_comments","category"
"1405630409737397_1548002468833523","https://www.facebook.com/wearemitu/posts/1548002468833523","https://www.wearemitu.com/mitu-world/trump-hate-map-shows-where-violent-incidents-by-his-supporters-are-taking-place/","This Map will Show You Where Home is Not","These people are insane.","Link","Citizenship & Politics",2016-01-31,"5:00:42 p. m.",17,7,1,164289,64,386,96,546,0.0033,4150,244,"2","1","1","0","1",0,-0.241314286,"Citizenship & Politics"
"1405630409737397_1548034575496979","https://www.facebook.com/wearemitu/posts/1548034575496979","https://www.wearemitu.com/mitu-voice/mexican-mom-quotes/","15 #MexicanMomQuotes That Terrified Us Growing Up","""Ponte las pilas.""","Link","Family & Friends",2016-01-31,"7:00:49 p. m.",19,7,1,235574,296,1680,392,2368,0.0101,8023,336,"4","1","3","0","1",-0.5106,0.297735714,"Family & Friends"
"1405630409737397_1548074172159686","https://www.facebook.com/wearemitu/posts/1548074172159686","https://www.wearemitu.com/mitu-voice/items-in-mexican-homes/","It’s Embarrassing, But Face It: All Mexicans Own These Things","If you grew up with Mexican parents you probably had at least 80% of these nacadas in your house.","Link","Family & Friends",2016-01-31,"9:00:19 p. m.",21,7,1,218072,192,1097,175,1464,0.0067,8436,383,"4","1","3","0","1",-0.3818,0.203134286,"Family & Friends"
"1405630409737397_1548251382141965","https://www.facebook.com/wearemitu/posts/1548251382141965","https://www.wearemitu.com/mitu-world/did-la-quirky-nancy-discover-mangoes-on-a-stick/","White People Discovering Mangoes on a Stick Inspires La Quirky Nancy","This is what happens when hipsters discover Mexican street food.","Link","Food & Beverages",2016-02-01,"8:00:24 a. m.",8,1,2,155124,77,990,120,1187,0.0077,3595,222,"6","1","5","0","1",0.4404,0.3905,"Food & Beverages"
"1405630409737397_1548295755470861","https://www.facebook.com/wearemitu/posts/1548295755470861","https://www.wearemitu.com/mitu-voice/things-latinas-do-after-a-breakup-to-make-you-wish-you-never-crushed-our-heart/","Latina Ex-Girlfriends Know Where to Hit Their Exes Where It Hurts","They will ruin your life.","Link","Sex & Relationships",2016-02-01,"10:00:00 a. m.",10,1,2,193954,102,958,109,1169,0.006,6586,335,"6","1","4","0","1",-0.4767,0.314128571,"Sex & Relationships"
"1405630409737397_1548365032130600","https://www.facebook.com/wearemitu/posts/1548365032130600","https://www.wearemitu.com/mitu-world/a-gay-latina-came-out-to-her-family-and-took-photos-of-the-moment-she-broke-the-news/","A Gay Latina Came Out to Her Family and Took Photos of the Moment She Broke the News","She kept her sexuality hidden from her parents for years...until now.","Link","Identities",2016-02-01,"12:01:16 p. m.",12,1,2,192875,126,922,119,1167,0.0061,8102,415,"7","1","3","0","1",-0.4215,0.404438095,"Identities"
"1405630409737397_1548385122128591","https://www.facebook.com/wearemitu/posts/1548385122128591","https://www.wearemitu.com/mitu-voice/15-things-you-thought-were-mexican-but-arent/","11 Things You Thought Were Mexican, but Aren’t","We've all been lied to.","Link","Latino Culture",2016-02-01,"2:00:00 p. m.",14,1,2,283827,96,803,199,1098,0.0039,12259,427,"2","1","0","1","0",0,0.1063125,"Latino Culture"
"1405630409737397_1548413345459102","https://www.facebook.com/wearemitu/posts/1548413345459102","https://www.wearemitu.com/mitu-world/no-mas-bebes-documentary/","A New Documentary Tells the Story of Latinas Who Were Sterilized Without Knowing It","What would you do if someone took away your ability to give birth?","Link","TV & Movies",2016-02-01,"5:00:00 p. m.",17,1,2,470041,1307,5314,1936,8557,0.0182,9909,200,"3","1","2","0","1",0,-0.088645652,"TV & Movies"
"1405630409737397_1548481435452293","https://www.facebook.com/wearemitu/posts/1548481435452293","https://www.wearemitu.com/mitu-voice/13-selena-quintanilla-gifs-every-latina-will-totally-understand/","These Selena Quintanilla GIFs are the Perfect Response to Everything","Let Selena say it for you.","Link","Celebrity & Gossip",2016-02-01,"9:00:00 p. m.",21,1,2,192012,181,2199,322,2702,0.0141,3304,159,"3","1","1","0","1",0.5719,0.437333333,"Celebrity & Gossip"
"1405630409737397_1548734495426987","https://www.facebook.com/wearemitu/posts/1548734495426987","https://www.wearemitu.com/mitu-voice/times-speaking-spanish-comes-in-handy/","11 Times Speaking Spanish Has Saved Your Life","Being bilingual is simply the best.","Link","Latino Culture",2016-02-03,"6:00:00 a. m.",6,3,2,140706,51,938,189,1178,0.0084,2670,177,"4","1","4","0","1",0.4215,0.1523875,"Latino Culture"
"1405630409737397_1548742625426174","https://www.facebook.com/wearemitu/posts/1548742625426174","https://www.wearemitu.com/mitu-voice/xx-times-avocado-disappointed-you/","These Photos Might Make You Change Your Mind About Avocados","These are breaking my heart.","Link","Food & Beverages",2016-02-02,"12:00:00 p. m.",12,2,2,258292,99,494,72,665,0.0026,11603,443,"2","1","0","1","0",0,0.10350625,"Food & Beverages"
