"status_id","date","post_type","from_name","link_clicks","post_reach","post_reach_viral","post_video_views","total_comments","total_likes","total_shares"
"1405630409737397_1816270745340026",2017-08-14,"video","We are mitu",65,802588,189281,249945,3797,9779,1888
"1405630409737397_1816281968672237",2017-08-14,"photo","We are mitu",43,144915,33003,0,76,2615,270
"1405630409737397_1816283328672101",2017-08-15,"photo","We are mitu",59,380719,86190,0,1692,6316,728
"1405630409737397_1816283918672042",2017-08-15,"video","We are mitu",126,541328,50437,114569,2481,2488,593
"1405630409737397_1816285308671903",2017-08-15,"photo","We are mitu",136,358326,54544,0,1161,4746,590
"1405630409737397_1816285635338537",2017-08-14,"photo","We are mitu",36,352711,56524,0,1201,5274,369
"1405630409737397_1816288795338221",2017-08-15,"link","We are mitu",896,121911,2796,272,99,197,34
"1405630409737397_1816497691983998",2017-08-15,"link","We are mitu",10417,173220,1408,50,6,258,6
"1405630409737397_1816544371979330",2017-08-15,"link","We are mitu",12243,372750,9582,15,288,2437,134
"1405630409737397_1816592978641136",2017-08-15,"video","We are mitu",83,1448623,183178,318291,308,13553,0
"1405630409737397_1816607935306307",2017-08-15,"video","We are mitu",2693,4291782,2719761,1480926,32852,63063,19516
"1405630409737397_1816615331972234",2017-08-15,"link","We are mitu",565,94698,2980,84,23,429,41
"1405630409737397_1816630895304011",2017-08-15,"video","We are mitu",29,368157,52460,100583,245,1881,320
"1405630409737397_1816637431970024",2017-08-15,"photo","We are mitu",15,180994,20791,0,236,2455,377
"1405630409737397_1816640871969680",2017-08-15,"photo","We are mitu",16,277266,37986,0,920,3778,292
"1405630409737397_1816643671969400",2017-08-15,"video","We are mitu",79,2953083,1732356,1575918,27886,46242,9417
"1405630409737397_1816685931965174",2017-08-16,"video","We are mitu",102,2815674,662223,804502,5010,14963,3799
"1405630409737397_1816702808630153",2017-08-16,"video","We are mitu",99,70374,1808,11374,3,99,11
"1405630409737397_1816714908628943",2017-08-15,"photo","We are mitu",18,531942,151440,0,2366,10457,1384
"1405630409737397_1816732455293855",2017-08-15,"link","We are mitu",350,77959,2447,6,8,460,39
"1405630409737397_1816779568622477",2017-08-16,"video","We are mitu",222,1527115,55863,406388,141,4654,178
"1405630409737397_1816787558621678",2017-08-17,"link","We are mitu",190,48320,1474,76,10,201,42
"1405630409737397_1816894058611028",2017-08-16,"photo","We are mitu",14,475712,141573,0,1938,9981,1373
"1405630409737397_1816895501944217",2017-08-16,"video","We are mitu",37,124395,3324,39806,183,437,66
"1405630409737397_1816901101943657",2017-08-16,"photo","We are mitu",84,489007,142845,0,2119,10343,1592
"1405630409737397_1817066515260449",2017-08-16,"link","We are mitu",1714,137295,2279,3,75,236,0
"1405630409737397_1817077505259350",2017-08-16,"link","We are mitu",857,80046,2587,2,9,690,30
"1405630409737397_1817115798588854",2017-08-16,"link","We are mitu",2992,236240,19015,129,88,1594,201
"1405630409737397_1817125588587875",2017-08-16,"photo","We are mitu",25,344506,63083,0,1578,5129,460
"1405630409737397_1817126318587802",2017-08-16,"photo","We are mitu",86,622750,151005,0,3856,7875,1239
"1405630409737397_1817243721909395",2017-08-16,"link","We are mitu",10428,238288,5957,110,93,853,0
"1405630409737397_1817248458575588",2017-08-17,"link","We are mitu",3147,154240,12290,92,47,1541,197
"1405630409737397_1817249098575524",2017-08-19,"link","We are mitu",1918,126065,1480,6,23,238,14
"1405630409737397_1817258138574620",2017-08-18,"link","We are mitu",4011,165226,772,281,10,123,10
"1405630409737397_1817262131907554",2017-08-16,"video","We are mitu",228,136755,2298,57555,105,300,38
"1405630409737397_1817264415240659",2017-08-16,"link","We are mitu",81772,995754,250848,163,1587,7348,1709
"1405630409737397_1817272638573170",2017-08-16,"photo","We are mitu",124,388536,90581,0,1475,8738,954
